Practice,Frecuency
Fertilizacion,9948
Poscosecha,4995
Composta,2956
Maíz_mejorado_MasAgro,2523
Micronutrientes,2107
Feromonas,1978
Subsoleo,1686
Siembra_directa,1590
Tratamiento_semillas,1471
Micorrizas,1073
Análisis_suelo,921
Mejoradores_suelo,906
Rastrojo,797
Biofertilizantes,647
Monitoreo_plagas,562
Cal_micronizada,434
Insectos_beneficos,405
Desvare,367
Camas_permanentes,209
Semillas_mejoradas_diversas,204
Análisis_foliar,200
Bioinsecticidas,160
Nivelación_suelos,84
Criollos_mejorados,66
Cultivos_cobertura,54
Rastra,37
Maiz_hibridos_MasAgro,30
